Classifier,R²,RMSE,MAPE,MDAPE,Accuracy
RandomForestRegressor,0.28101797829428066,0.7859029212643402,11.259339767701718,6.811019909887155,89.95369136888101
GradientBoostingRegressor,0.2109536808158449,0.8235995174862859,12.21491377247871,7.8975571778370535,88.96972744485673
AdaBoostRegressor,-0.05130281551425904,0.9505566524988425,17.0183573789305,13.103946375512592,86.12945191097087
BaggingRegressor,0.20504075179274298,0.8266774146302188,12.014453387248983,7.254547616813821,89.31456524253842
LinearRegression,-2473995647900748.0,28032143.940013487,74905657.95614013,23.010725680825868,-49.83528978448473
Ridge,-1.7414039789463687,1.523264471138663,17.880474342541884,9.62745836542612,66.00305459904367
Lasso,-0.00044844749346002467,0.9316074912728377,14.431489015614641,10.18891691796562,87.44759543426463
ElasticNet,-0.00044844749346002467,0.9316074912728377,14.431489015614641,10.18891691796562,87.44759543426463
SVR,0.24638403330266834,0.807675833318032,11.058232785168096,6.170987320571351,89.7591288816111
DecisionTreeRegressor,-0.5059285380349484,1.131888965943514,15.337857589362262,8.44660175865695,85.5208283629736
MLPRegressor,-4.164640272697841,1.9822946938866441,17.827715812836324,9.723769482071685,74.93043456572829
XGBRegressor,0.2030109251832395,0.8280040451537511,11.870788748126765,7.187909086251226,89.43841451877486
GaussianProcessRegressor,-26.458035196950362,4.835144087867033,92.59373125342981,100.0,-inf
